Customer_ID,Intent,Query,Response
CUST1231,Loan Assistance,What is my remaining loan amount?,"Dear Customer_231, you have a Car Loan of ?1161399.69."
CUST1446,Balance Inquiry,What is my account balance?,"Dear Customer_446, your current balance is ?129468.16."
CUST1221,Loan Assistance,What is my remaining loan amount?,"Dear Customer_221, you have a Education Loan of ?0.0."
CUST1157,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1027,Loan Assistance,Tell me the interest rate on my loan.,"Dear Customer_27, you have a Home Loan of ?1888763.98."
CUST1178,Loan Assistance,How do I pay my EMI?,"Dear Customer_178, you have a Car Loan of ?1237505.62."
CUST1315,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1238,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_238, your current balance is ?271376.39."
CUST1334,Balance Inquiry,How much money do I have in my account?,"Dear Customer_334, your current balance is ?163436.22."
CUST1400,Card Management,How do I unblock my card?,Your card status is Blocked. We can help you update or block it as needed.
CUST1124,Card Management,"I lost my debit card, please block it.",Your card status is Lost Reported. We can help you update or block it as needed.
CUST1247,Card Management,"I lost my debit card, please block it.",Your card status is Active. We can help you update or block it as needed.
CUST1391,Loan Assistance,What is my remaining loan amount?,"Dear Customer_391, you have a Personal Loan of ?0.0."
CUST1206,Balance Inquiry,How much money do I have in my account?,"Dear Customer_206, your current balance is ?346045.49."
CUST1479,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1072,Bill Payments & Reminders,How do I pay my electricity bill?,Your bill payment reminder has been set successfully.
CUST1209,Balance Inquiry,What is my account balance?,"Dear Customer_209, your current balance is ?66106.48."
CUST1242,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1315,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1449,Bill Payments & Reminders,Can you remind me of my bill due date?,Your bill payment reminder has been set successfully.
CUST1023,Loan Assistance,What is my remaining loan amount?,"Dear Customer_23, you have a Personal Loan of ?1104780.53."
CUST1245,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1162,Loan Assistance,What is my remaining loan amount?,"Dear Customer_162, you have a Car Loan of ?0.0."
CUST1359,Card Management,How do I unblock my card?,Your card status is Active. We can help you update or block it as needed.
CUST1346,Complaint Management,I was charged twice for the same transaction.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1205,Loan Assistance,How do I pay my EMI?,"Dear Customer_205, you have a Education Loan of ?0.0."
CUST1292,Card Management,"My credit card expired, what should I do?",Your card status is Lost Reported. We can help you update or block it as needed.
CUST1490,Loan Assistance,Tell me the interest rate on my loan.,"Dear Customer_490, you have a Car Loan of ?0.0."
CUST1011,Card Management,"I lost my debit card, please block it.",Your card status is Lost Reported. We can help you update or block it as needed.
CUST1396,Card Management,"I lost my debit card, please block it.",Your card status is Blocked. We can help you update or block it as needed.
CUST1116,Loan Assistance,Tell me the interest rate on my loan.,"Dear Customer_116, you have a Car Loan of ?1414640.87."
CUST1012,Loan Assistance,Tell me the interest rate on my loan.,"Dear Customer_12, you have a Personal Loan of ?0.0."
CUST1006,Balance Inquiry,What is my account balance?,"Dear Customer_6, your current balance is ?86990.86."
CUST1089,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1391,Card Management,How do I unblock my card?,Your card status is Active. We can help you update or block it as needed.
CUST1411,Card Management,"I lost my debit card, please block it.",Your card status is Blocked. We can help you update or block it as needed.
CUST1047,Card Management,How do I unblock my card?,Your card status is Blocked. We can help you update or block it as needed.
CUST1420,Card Management,"I lost my debit card, please block it.",Your card status is Expired. We can help you update or block it as needed.
CUST1053,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1108,Bill Payments & Reminders,How do I pay my electricity bill?,Your bill payment reminder has been set successfully.
CUST1433,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1403,Loan Assistance,Tell me the interest rate on my loan.,You currently have no active loans.
CUST1109,Loan Assistance,How do I pay my EMI?,You currently have no active loans.
CUST1055,Complaint Management,I was charged twice for the same transaction.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1459,Card Management,How do I unblock my card?,Your card status is Blocked. We can help you update or block it as needed.
CUST1448,Bill Payments & Reminders,Can you remind me of my bill due date?,Your bill payment reminder has been set successfully.
CUST1437,Card Management,"I lost my debit card, please block it.",Your card status is Expired. We can help you update or block it as needed.
CUST1144,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_144, your current balance is ?394703.78."
CUST1306,Bill Payments & Reminders,How do I pay my electricity bill?,Your bill payment reminder has been set successfully.
CUST1211,Card Management,How do I unblock my card?,Your card status is Expired. We can help you update or block it as needed.
CUST1216,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1224,Card Management,"I lost my debit card, please block it.",Your card status is Active. We can help you update or block it as needed.
CUST1167,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_167, your current balance is ?116151.62."
CUST1061,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1312,Balance Inquiry,What is my account balance?,"Dear Customer_312, your current balance is ?114774.15."
CUST1005,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1209,Card Management,"I lost my debit card, please block it.",Your card status is Lost Reported. We can help you update or block it as needed.
CUST1061,Card Management,How do I unblock my card?,Your card status is Active. We can help you update or block it as needed.
CUST1163,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1366,Loan Assistance,What is my remaining loan amount?,"Dear Customer_366, you have a Education Loan of ?0.0."
CUST1283,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1226,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_226, your current balance is ?145841.45."
CUST1358,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1479,Loan Assistance,How do I pay my EMI?,"Dear Customer_479, you have a Home Loan of ?226047.13."
CUST1296,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1202,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1000,Balance Inquiry,What is my account balance?,"Dear Customer_0, your current balance is ?484438.69."
CUST1459,Bill Payments & Reminders,Can you remind me of my bill due date?,Your bill payment reminder has been set successfully.
CUST1061,Bill Payments & Reminders,Can you remind me of my bill due date?,Your bill payment reminder has been set successfully.
CUST1342,Loan Assistance,What is my remaining loan amount?,"Dear Customer_342, you have a Personal Loan of ?1750186.57."
CUST1123,Bill Payments & Reminders,Set up automatic bill payment for me.,Your bill payment reminder has been set successfully.
CUST1406,Complaint Management,I was charged twice for the same transaction.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1091,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_91, your current balance is ?179657.29."
CUST1354,Card Management,How do I unblock my card?,Your card status is Expired. We can help you update or block it as needed.
CUST1207,Balance Inquiry,What is my account balance?,"Dear Customer_207, your current balance is ?270654.79."
CUST1085,Loan Assistance,What is my remaining loan amount?,"Dear Customer_85, you have a Personal Loan of ?0.0."
CUST1404,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1300,Card Management,"My credit card expired, what should I do?",Your card status is Lost Reported. We can help you update or block it as needed.
CUST1426,Bill Payments & Reminders,How do I pay my electricity bill?,Your bill payment reminder has been set successfully.
CUST1019,Balance Inquiry,What is my account balance?,"Dear Customer_19, your current balance is ?364090.84."
CUST1456,Complaint Management,I was charged twice for the same transaction.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1043,Complaint Management,I was charged twice for the same transaction.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1295,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1125,Complaint Management,I was charged twice for the same transaction.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1423,Complaint Management,Why did my transaction fail?,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1282,Balance Inquiry,How much money do I have in my account?,"Dear Customer_282, your current balance is ?158134.15."
